species,node,class_order,class_label,broad_class_order,broad_class_label,fine_class,classification_note
Zebrafish,rHb,6,state-dependent / modulatory,4,state-dependent / modulatory,habenular / hypothalamic / raphe state system,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rHi,6,state-dependent / modulatory,4,state-dependent / modulatory,habenular / hypothalamic / raphe state system,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rHR,6,state-dependent / modulatory,4,state-dependent / modulatory,habenular / hypothalamic / raphe state system,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rOG,0,olfactory / chemosensory,0,sensory input,olfactory sensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rOB,0,olfactory / chemosensory,0,sensory input,olfactory sensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rOE,0,olfactory / chemosensory,0,sensory input,olfactory sensory,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rP,5,associative / learning,3,associative / learning,telencephalic associative,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rPT,1,visual / optic,0,sensory input,visual / optic midbrain,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rPO,6,state-dependent / modulatory,4,state-dependent / modulatory,habenular / hypothalamic / raphe state system,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rPrT,1,visual / optic,0,sensory input,visual / optic midbrain,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rSP,5,associative / learning,3,associative / learning,telencephalic associative,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rTeO,1,visual / optic,0,sensory input,visual / optic midbrain,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rTh,4,integrative relay,2,integrative relay,diencephalic / state relay,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rTL,1,visual / optic,0,sensory input,visual / optic midbrain,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rTS,1,visual / optic,0,sensory input,visual / optic midbrain,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rTG,3,sensorimotor output,1,sensorimotor output,hindbrain / cerebellar / motor,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rVR,3,sensorimotor output,1,sensorimotor output,hindbrain / cerebellar / motor,Literature-guided species-specific functional mapping for current FCV comparison plot.
Zebrafish,rNX,3,sensorimotor output,1,sensorimotor output,hindbrain / cerebellar / motor,Literature-guided species-specific functional mapping for current FCV comparison plot.
